Date,Open Price,High Price,Low Price,Last Price,VWAP (Vol Weighted Average Price),Volume
1/10/17,2.07363,2.08653,2.07106,2.07621,2.0821,79700
1/11/17,2.07605,2.07605,2.07347,2.07605,2.0744,15120
1/12/17,2.07882,2.0814,2.07624,2.07624,2.0794,23800
1/13/17,2.07361,2.07619,2.06845,2.07103,2.0734,39600
1/16/17,2.07342,2.07858,2.07342,2.07858,2.0747,19400
1/17/17,2.07331,2.07847,2.06816,2.07589,2.0711,21900
1/18/17,2.07576,2.07834,2.07318,2.07576,2.0765,15400
1/19/17,2.07554,2.07812,2.06781,2.07554,2.0715,73100
1/20/17,2.06733,2.07506,2.06733,2.07249,2.0719,51700
1/23/17,2.07826,2.12725,2.07052,2.0731,2.1113,83700
1/24/17,2.07289,2.07289,2.07031,2.07289,2.0712,9500
1/25/17,2.0883,2.0883,2.07799,2.08572,2.0867,43420
1/26/17,2.09338,2.10627,2.09338,2.10627,2.1046,48300
1/27/17,2.10355,2.12675,2.10098,2.10355,2.108,61600
1/30/17,2.10355,2.12675,2.10098,2.10355,2.108,61600
1/31/17,2.10355,2.12675,2.10098,2.10355,2.108,61600
2/1/17,2.10328,2.11359,2.08782,2.08782,2.0957,84600
2/2/17,2.08513,2.09286,2.0774,2.08513,2.0828,259000
2/3/17,2.08554,2.09842,2.08296,2.08554,2.0851,10000
2/6/17,2.09061,2.10092,2.08545,2.08545,2.0906,209000
2/7/17,2.0854,2.09571,2.0854,2.08798,2.0887,12986
2/8/17,2.08795,2.09826,2.08795,2.09826,2.094,5200
2/9/17,2.09587,2.09845,2.08814,2.09587,2.0907,45100
2/10/17,2.10062,2.11351,2.10062,2.11093,2.1103,37100
2/13/17,2.12643,2.12643,2.11869,2.12127,2.1229,70000
2/14/17,2.1315,2.13408,2.12119,2.1315,2.1281,54720
2/15/17,2.13133,2.14937,2.13133,2.13391,2.1416,75100
2/16/17,2.13931,2.1522,2.13931,2.14962,2.1423,128000
2/17/17,2.15165,2.15165,2.13876,2.13876,2.1452,60900
2/20/17,2.14397,2.14912,2.14397,2.14912,2.145,9200
2/21/17,2.14924,2.15697,2.13377,2.14924,2.1457,88100
2/22/17,2.14946,2.16492,2.14946,2.16492,2.1607,44100
2/23/17,2.16498,2.16498,2.15982,2.1624,2.1612,56000
2/24/17,2.16459,2.17489,2.15943,2.15943,2.16,85500
2/27/17,2.16206,2.1698,2.15949,2.16464,2.1638,47600
2/28/17,2.16425,2.17198,2.16425,2.16425,2.166,154800
3/1/17,2.17697,2.17697,2.16408,2.16408,2.1678,28200
3/2/17,2.17201,2.19262,2.17201,2.19004,2.1903,168300
3/3/17,2.19228,2.19228,2.17167,2.17425,2.1783,46700
3/6/17,2.17411,2.17668,2.16381,2.17411,2.1734,24500
3/7/17,2.18175,2.18175,2.17403,2.1766,2.1772,94367
3/8/17,2.18077,2.18077,2.16017,2.16275,2.1645,52830
3/9/17,2.16101,2.16101,2.15843,2.16101,2.1606,95328
3/10/17,2.16627,2.174,2.16627,2.174,2.1738,7907
3/13/17,2.16882,2.17139,2.16882,2.17139,2.1711,51100
3/14/17,2.17573,2.17573,2.16543,2.17316,2.1726,19800
3/15/17,2.16773,2.1703,2.16515,2.16515,2.1683,9876
3/16/17,2.17747,2.18778,2.17747,2.18778,2.1825,40800
3/17/17,2.18789,2.18789,2.16212,2.18016,2.1757,49710
3/20/17,2.1761,2.20185,2.16837,2.1761,2.1746,84100
3/21/17,2.17612,2.18128,2.17355,2.17355,2.1748,39119
3/22/17,2.15034,2.17352,2.13489,2.13747,2.1426,79100
